xsusdslsrs | [[[32, 32]], [[32, 30], [5, 15]], [[32, 26], [5, 20]], [[32, 28], [5, 40]], [[32, 80], [5, 80], [59, 35]], [[30, 80], [59, 65], [14, 20]], [[18, 80], [59, 75], [14, 30]], [[20, 80], [59, 85], [14, 40]], [[28, 80], [59, 90], [14, 45]]]
xsdsdrslslslslslsr | [[[32, 32]], [[32, 34], [30, 0]], [[32, 46], [30, 10]], [[32, 48], [30, 20]], [[34, 74], [30, 40]], [[59, 74], [30, 70], [42, 25]], [[57, 74], [27, 75], [16, 25]], [[53, 74], [27, 80], [16, 30]], [[51, 74], [16, 60], [47, 15]], [[45, 74], [16, 65], [47, 20]], [[43, 74], [16, 80], [47, 35]], [[31, 74], [16, 95], [47, 50]], [[29, 74], [30, 10]], [[11, 74], [47, 75], [30, 25]], [[9, 74], [47, 85], [30, 35]], [[0, 74], [47, 95], [30, 45], [21, 0]], [[2, 74], [21, 90], [9, 40]]]
xsdsrsdsl | [[[32, 32]], [[32, 34]], [[32, 60], [25, 5]], [[34, 60], [25, 25]], [[52, 60], [25, 40]], [[52, 62], [25, 75], [49, 30]], [[52, 70], [25, 80], [49, 35]], [[50, 70], [25, 95], [49, 50], [41, 5]]]
xsdsdslslsrsrslslsrsrsrslsrsrslslslsrsrsrslsl | [[[32, 32]], [[32, 34]], [[32, 68], [54, 5]], [[32, 70], [54, 20]], [[32, 78], [54, 30]], [[30, 78], [54, 40]], [[20, 78], [54, 50], [23, 5]], [[18, 78], [54, 65], [23, 20]], [[0, 78], [54, 90], [23, 45]], [[2, 78], [56, 10]], [[14, 78], [42, 70], [56, 20]], [[16, 78], [42, 85], [56, 35]], [[28, 78], [42, 95], [56, 45]], [[26, 78], [56, 100], [50, 55], [38, 5]], [[18, 78], [50, 60], [38, 10]], [[16, 78], [50, 100], [38, 50], [49, 5]], [[6, 78], [38, 60], [49, 15]], [[8, 78], [38, 100], [49, 55], [4, 5]], [[18, 78], [49, 60], [4, 10]], [[20, 78], [49, 80], [4, 30]], [[32, 78], [49, 90], [4, 40]], [[34, 78], [4, 70], [48, 25]], [[38, 78], [4, 75], [48, 30]], [[36, 78], [4, 85], [48, 40]], [[10, 78], [48, 60], [14, 10]], [[12, 78], [48, 80], [14, 30]], [[20, 78], [48, 85], [14, 35]], [[22, 78], [48, 95], [14, 45], [11, 0]], [[54, 78], [14, 75], [11, 30]], [[52, 78], [11, 70], [57, 25]], [[44, 78], [11, 80], [57, 35]], [[42, 78], [11, 90], [57, 45]], [[30, 78], [11, 100], [57, 55], [46, 5]], [[28, 78], [57, 70], [46, 20]], [[10, 78], [57, 90], [46, 40]], [[12, 78], [48, 70], [1, 25]], [[22, 78], [48, 80], [1, 35]], [[24, 78], [48, 95], [1, 50], [8, 0]], [[32, 78], [8, 10]], [[34, 78], [1, 85], [8, 35]], [[46, 78], [1, 100], [8, 50], [39, 5]], [[44, 78], [8, 75], [39, 30]], [[38, 78], [8, 80], [39, 35]], [[36, 78], [8, 100], [39, 55], [20, 10]]]
xsrdlrsrslslsrsrsrslslslsls | [[[32, 32]], [[34, 32]], [[58, 34], [55, 10]], [[56, 84], [55, 50], [11, 5]], [[24, 84], [55, 80], [11, 35]], [[26, 84], [55, 85], [11, 40]], [[28, 84], [11, 65], [48, 15]], [[50, 84], [11, 85], [48, 35]], [[48, 84], [11, 90], [48, 40]], [[32, 84], [48, 55], [53, 10]], [[30, 84], [48, 60], [53, 15]], [[2, 84], [48, 85], [53, 40]], [[4, 84], [48, 100], [53, 55], [58, 10]], [[16, 84], [53, 65], [58, 20]], [[18, 84], [58, 75], [17, 30]], [[38, 84], [58, 95], [17, 50], [7, 0]], [[40, 84], [17, 65], [7, 15]], [[56, 84], [17, 80], [7, 30]], [[54, 84], [7, 55], [0, 10]], [[46, 84], [7, 65], [0, 20]], [[44, 84], [0, 75], [49, 25]], [[30, 84], [0, 90], [49, 40]], [[28, 84], [0, 100], [49, 50], [33, 5]], [[18, 84], [49, 60], [33, 15]], [[16, 84], [49, 85], [33, 40]], [[0, 84], [49, 100], [33, 55], [19, 5]]]
xsdlsrsdslslsrsrsrslsrslsrsrsrslslsrslsrsrsrslsrsrs | [[[32, 32]], [[32, 34]], [[30, 68], [5, 10]], [[20, 68], [5, 20]], [[22, 68], [5, 35]], [[42, 68], [5, 50], [59, 5]], [[42, 70], [5, 70], [59, 25]], [[42, 78], [5, 80], [59, 35]], [[40, 78], [5, 95], [59, 50], [37, 0]], [[16, 78], [59, 70], [37, 20]], [[14, 78], [37, 60], [47, 15]], [[2, 78], [37, 70], [47, 25]], [[4, 78], [37, 100], [47, 55], [6, 10]], [[14, 78], [47, 60], [6, 15]], [[16, 78], [47, 75], [6, 30]], [[22, 78], [47, 80], [6, 35]], [[24, 78], [47, 95], [6, 50]], [[52, 78], [6, 70], [41, 20]], [[50, 78], [6, 85], [41, 35]], [[0, 78], [41, 80], [52, 35]], [[2, 78], [41, 90], [52, 45]], [[18, 78], [52, 60], [27, 10]], [[16, 78], [52, 90], [27, 40]], [[0, 78], [27, 55], [28, 10]], [[2, 78], [36, 85], [55, 40]], [[10, 78], [36, 90], [55, 45], [23, 0]], [[12, 78], [23, 15]], [[24, 78], [55, 70], [23, 25]], [[26, 78], [55, 90], [23, 45]], [[59, 78], [23, 75], [46, 25]], [[57, 78], [23, 90], [46, 40]], [[13, 78], [46, 75], [43, 30]], [[11, 78], [46, 100], [43, 55], [55, 10]], [[0, 78], [43, 65], [55, 20]], [[2, 78], [43, 95], [55, 50], [58, 0]], [[12, 78], [58, 10]], [[10, 78], [43, 95], [17, 50], [30, 0]], [[0, 78], [17, 65], [30, 15]], [[2, 78], [30, 80], [40, 35]], [[16, 78], [30, 95], [40, 50], [45, 5]], [[18, 78], [45, 95], [0, 45]], [[38, 78], [0, 65], [12, 20]], [[40, 78], [0, 85], [12, 40]], [[50, 78], [0, 95], [12, 50], [56, 0]], [[48, 78], [12, 95], [56, 45]], [[18, 78], [56, 70], [15, 25]], [[20, 78], [56, 85], [15, 40]], [[32, 78], [56, 100], [15, 55], [40, 10]], [[34, 78], [15, 65], [40, 20]], [[54, 78], [15, 80], [40, 35]]]
xsdsrsdslslsdsrsrslslslsrslsrslslsl | [[[32, 32]], [[32, 34]], [[32, 60], [12, 5]], [[34, 60], [12, 15]], [[46, 60], [12, 25]], [[46, 62], [12, 50], [51, 5]], [[46, 74], [12, 60], [51, 15]], [[44, 74], [12, 75], [51, 30]], [[32, 74], [12, 85], [51, 40]], [[30, 74], [12, 90], [51, 45]], [[20, 74], [12, 100], [51, 55], [59, 5]], [[20, 76], [51, 100], [59, 50], [5, 5]], [[20, 84], [59, 60], [5, 15]], [[22, 84], [59, 80], [5, 35]], [[30, 84], [59, 90], [5, 45]], [[32, 84], [5, 75], [29, 30]], [[59, 84], [5, 95], [29, 50], [17, 0]], [[57, 84], [9, 70], [14, 25]], [[49, 84], [9, 80], [14, 35]], [[47, 84], [14, 95], [52, 45]], [[15, 84], [52, 70], [25, 25]], [[13, 84], [52, 100], [25, 55], [41, 5]], [[0, 84], [25, 70], [41, 20]], [[2, 84], [41, 65], [48, 20]], [[12, 84], [41, 75], [48, 30]], [[10, 84], [54, 100], [24, 50], [5, 5]], [[0, 84], [24, 65], [5, 20]], [[2, 84], [24, 95], [5, 50], [12, 5]], [[58, 84], [5, 95], [12, 50], [4, 0]], [[56, 84], [12, 70], [4, 20]], [[46, 84], [12, 75], [4, 25]], [[44, 84], [12, 95], [4, 45]], [[34, 84], [41, 10]], [[32, 84], [4, 85], [41, 40]]]
xsdslsdsrslslsrsrslslsrslsrsr | [[[32, 32]], [[32, 34]], [[32, 66], [55, 15]], [[30, 66], [55, 35]], [[22, 66], [55, 45]], [[22, 68], [55, 80], [1, 35]], [[22, 84], [55, 95], [1, 50], [36, 0]], [[24, 84], [1, 65], [36, 15]], [[34, 84], [1, 75], [36, 25]], [[32, 84], [1, 85], [36, 35]], [[26, 84], [1, 90], [36, 40]], [[24, 84], [36, 60], [29, 15]], [[0, 84], [36, 85], [29, 40]], [[2, 84], [29, 95], [2, 50], [21, 0]], [[52, 84], [2, 95], [21, 45]], [[54, 84], [21, 100], [39, 55], [50, 5]], [[59, 84], [39, 75], [50, 25]], [[57, 84], [39, 95], [50, 45]], [[11, 84], [50, 85], [36, 40]], [[9, 84], [36, 100], [19, 50], [51, 5]], [[0, 84], [19, 65], [51, 20]], [[2, 84], [51, 65], [26, 20]], [[14, 84], [51, 80], [26, 35]], [[12, 84], [51, 90], [26, 45]], [[0, 84], [51, 100], [26, 55], [37, 5]], [[2, 84], [37, 60], [56, 15]], [[8, 84], [37, 65], [56, 20]], [[10, 84], [37, 85], [56, 40]]]
xsdslsr | [[[32, 32]], [[32, 34]], [[32, 60], [24, 0]], [[30, 60], [24, 25]], [[24, 60], [24, 30]], [[26, 60], [24, 35]]]
xsdslslsrsrsrslslsrslsrsrsrsrslslslslslsrslsr | [[[32, 32]], [[32, 34]], [[32, 78], [0, 20]], [[30, 78], [0, 90], [39, 45]], [[6, 78], [39, 65], [20, 15]], [[4, 78], [39, 90], [20, 40]], [[0, 78], [57, 10]], [[2, 78], [20, 95], [57, 50], [52, 0]], [[18, 78], [57, 65], [52, 15]], [[20, 78], [57, 90], [52, 40]], [[30, 78], [57, 100], [52, 50], [15, 5]], [[32, 78], [52, 100], [15, 55], [45, 5]], [[58, 78], [15, 75], [45, 25]], [[56, 78], [15, 85], [45, 35]], [[6, 78], [45, 80], [18, 35]], [[4, 78], [45, 90], [18, 45]], [[0, 78], [18, 70], [25, 25]], [[2, 78], [25, 95], [4, 45]], [[59, 78], [4, 95], [30, 50], [45, 0]], [[57, 78], [30, 90], [45, 40]], [[0, 78], [45, 85], [51, 40]], [[2, 78], [45, 95], [51, 50], [54, 5]], [[14, 78], [51, 60], [54, 15]], [[16, 78], [51, 95], [54, 50], [17, 0]], [[22, 78], [51, 100], [54, 55], [17, 5]], [[24, 78], [54, 80], [17, 30]], [[36, 78], [54, 90], [17, 40]], [[38, 78], [17, 60], [35, 15]], [[59, 78], [17, 85], [35, 40]], [[57, 78], [7, 65], [51, 15]], [[47, 78], [7, 75], [51, 25]], [[45, 78], [7, 85], [51, 35]], [[39, 78], [7, 90], [51, 40]], [[37, 78], [7, 100], [51, 50], [42, 5]], [[31, 78], [51, 55], [42, 10]], [[29, 78], [51, 65], [42, 20]], [[21, 78], [51, 75], [42, 30]], [[19, 78], [51, 100], [42, 55], [37, 10]], [[1, 78], [42, 70], [37, 25]], [[3, 78], [52, 70], [54, 25]], [[13, 78], [52, 75], [54, 30]], [[11, 78], [31, 70], [13, 20]], [[1, 78], [31, 75], [13, 25]], [[3, 78], [31, 95], [13, 45], [6, 0]]]
