xsdsds | [[[32, 32]], [[32, 34], [22, 0]], [[32, 76], [22, 35]], [[32, 78], [22, 40]], [[32, 78], [22, 40]]]
xsdsdsds | [[[32, 32]], [[32, 34], [33, 0]], [[32, 74], [33, 35]], [[32, 76], [33, 40]], [[32, 76], [33, 40]], [[32, 78], [33, 45]], [[32, 78], [33, 45]]]
xsdsdsdsrsrsrsrslslslslslslslsrsrsrsrsrsrsl | [[[32, 32]], [[32, 34], [1, 0]], [[32, 70], [1, 30]], [[32, 72], [1, 35]], [[32, 72], [1, 35]], [[32, 74], [1, 45]], [[32, 74], [1, 45]], [[34, 74], [1, 75], [9, 30]], [[36, 74], [1, 75], [9, 30]], [[38, 74], [1, 80], [9, 35]], [[46, 74], [1, 85], [9, 40]], [[48, 74], [1, 90], [9, 45]], [[50, 74], [1, 90], [9, 45]], [[52, 74], [1, 95], [9, 50]], [[52, 74], [1, 95], [9, 50], [47, 0]], [[50, 74], [9, 80], [47, 30]], [[34, 74], [9, 90], [47, 40]], [[32, 74], [9, 95], [47, 45]], [[30, 74], [9, 95], [47, 45], [40, 0]], [[28, 74], [9, 100], [47, 50], [40, 5]], [[28, 74], [9, 100], [47, 50], [40, 5]], [[26, 74], [40, 10]], [[26, 74], [47, 55], [40, 10]], [[24, 74], [47, 90], [40, 45]], [[6, 74], [40, 60], [24, 10]], [[4, 74], [40, 95], [24, 45]], [[4, 74], [40, 95], [24, 45]], [[2, 74], [40, 95], [24, 45], [31, 0]], [[0, 74], [24, 55], [31, 10]], [[2, 74], [48, 80], [8, 30]], [[32, 74], [8, 55], [27, 10]], [[34, 74], [8, 75], [27, 30]], [[36, 74], [8, 75], [27, 30]], [[38, 74], [8, 80], [27, 35]], [[40, 74], [8, 80], [27, 35]], [[42, 74], [8, 85], [27, 40]], [[44, 74], [8, 85], [27, 40]], [[46, 74], [8, 90], [27, 45]], [[48, 74], [8, 90], [27, 45]], [[50, 74], [8, 95], [27, 50]], [[50, 74], [8, 95], [27, 50], [50, 0]], [[48, 74], [27, 80], [50, 30]]]
xsdsds | [[[32, 32]], [[32, 34], [20, 0]], [[32, 76], [20, 35]], [[32, 78], [20, 40]], [[32, 78], [20, 40]]]
xsdsds | [[[32, 32]], [[32, 34], [17, 0]], [[32, 76], [17, 35]], [[32, 78], [17, 45]], [[32, 78], [17, 45]]]
xsdsdsdsds | [[[32, 32]], [[32, 34], [29, 0]], [[32, 72], [29, 30]], [[32, 74], [29, 35]], [[32, 74], [29, 35]], [[32, 76], [29, 40]], [[32, 76], [29, 40]], [[32, 78], [29, 45]], [[32, 78], [29, 45]]]
xsdsdsds | [[[32, 32]], [[32, 34], [43, 0]], [[32, 76], [43, 35]], [[32, 78], [43, 40]], [[32, 78], [43, 40]], [[32, 80], [43, 45]], [[32, 80], [43, 45]]]
xsdsdsrls | [[[32, 32]], [[32, 34], [11, 0]], [[32, 74], [11, 30]], [[32, 76], [11, 40]], [[32, 76], [11, 40]], [[34, 76], [11, 90], [35, 45]], [[34, 76], [11, 90], [35, 45]], [[20, 76], [35, 60], [8, 10]]]
xsdsds | [[[32, 32]], [[32, 34], [17, 0]], [[32, 76], [17, 35]], [[32, 78], [17, 45]], [[32, 78], [17, 45]]]
xsdslsrsrsrsrsrsl | [[[32, 32]], [[32, 34], [57, 0]], [[32, 80], [57, 40]], [[30, 80], [57, 90], [30, 45]], [[10, 80], [30, 60], [57, 10]], [[12, 80], [57, 85], [16, 40]], [[14, 80], [57, 85], [16, 40]], [[16, 80], [57, 90], [16, 45]], [[36, 80], [16, 60], [21, 10]], [[38, 80], [16, 85], [21, 35]], [[40, 80], [16, 85], [21, 35]], [[42, 80], [16, 90], [21, 40]], [[44, 80], [16, 90], [21, 40]], [[46, 80], [16, 95], [21, 45]], [[48, 80], [16, 95], [21, 45], [44, 0]], [[46, 80], [21, 85], [44, 40]]]
xsdslslslsrsr | [[[32, 32]], [[32, 34], [12, 0]], [[32, 76], [12, 35]], [[30, 76], [12, 90], [41, 45]], [[28, 76], [12, 90], [41, 45]], [[26, 76], [12, 95], [41, 50], [15, 5]], [[20, 76], [12, 100], [41, 55], [15, 10]], [[18, 76], [15, 15]], [[18, 76], [41, 60], [15, 15]], [[20, 76], [41, 85], [15, 40]], [[22, 76], [41, 85], [15, 40]], [[24, 76], [41, 90], [15, 45]]]
xsdsds | [[[32, 32]], [[32, 34], [37, 0]], [[32, 76], [37, 35]], [[32, 78], [37, 45]], [[32, 78], [37, 45]]]
xsdsdslslslsrsr | [[[32, 32]], [[32, 34], [56, 0]], [[32, 78], [56, 35]], [[32, 80], [56, 40]], [[32, 80], [56, 40]], [[30, 80], [56, 90], [29, 45]], [[12, 80], [29, 60], [36, 15]], [[10, 80], [29, 100], [36, 55], [4, 5]], [[10, 80], [29, 100], [36, 55], [4, 5]], [[8, 80], [4, 10]], [[8, 80], [36, 60], [4, 10]], [[10, 80], [36, 80], [4, 30]], [[12, 80], [36, 80], [4, 30]], [[14, 80], [36, 85], [4, 35]]]
xsdsdsrsrlrls | [[[32, 32]], [[32, 34], [12, 0]], [[32, 74], [12, 30]], [[32, 76], [12, 35]], [[32, 76], [12, 35]], [[34, 76], [12, 80], [32, 35]], [[36, 76], [12, 80], [32, 35]], [[38, 76], [12, 85], [32, 40]], [[42, 76], [12, 90], [32, 45]], [[44, 76], [12, 90], [32, 45]], [[42, 76], [12, 90], [32, 45]], [[28, 76], [32, 60], [17, 10]]]
xsdsdsr | [[[32, 32]], [[32, 34], [51, 0]], [[32, 78], [51, 35]], [[32, 80], [51, 45]], [[32, 80], [51, 45]], [[34, 80], [51, 95], [6, 50], [53, 5]]]
xsdsdsdsrsrsrsrsl | [[[32, 32]], [[32, 34], [0, 0]], [[32, 70], [0, 30]], [[32, 72], [0, 35]], [[32, 72], [0, 35]], [[32, 74], [0, 45]], [[32, 74], [0, 45]], [[34, 74], [0, 70], [19, 25]], [[36, 74], [0, 70], [19, 25]], [[38, 74], [0, 75], [19, 30]], [[38, 74], [0, 75], [19, 30]], [[40, 74], [0, 80], [19, 35]], [[48, 74], [0, 85], [19, 40]], [[50, 74], [0, 90], [19, 45]], [[52, 74], [0, 90], [19, 45]], [[50, 74], [27, 80], [54, 35]]]
xsdsdsrsrsrsrslsls | [[[32, 32]], [[32, 34], [2, 0]], [[32, 72], [2, 30]], [[32, 74], [2, 45]], [[32, 74], [2, 45]], [[34, 74], [2, 75], [27, 30]], [[42, 74], [2, 80], [27, 35]], [[44, 74], [2, 85], [27, 40]], [[46, 74], [2, 85], [27, 40]], [[48, 74], [2, 90], [27, 45]], [[50, 74], [2, 90], [27, 45]], [[52, 74], [2, 95], [27, 50]], [[52, 74], [2, 95], [27, 50], [27, 0]], [[50, 74], [27, 95], [27, 45]], [[48, 74], [27, 95], [27, 45], [24, 0]], [[46, 74], [27, 100], [27, 50], [24, 5]], [[40, 74], [27, 55], [24, 10]]]
xsdsds | [[[32, 32]], [[32, 34], [25, 0]], [[32, 76], [25, 35]], [[32, 78], [25, 40]], [[32, 78], [25, 40]]]
xsdsdsds | [[[32, 32]], [[32, 34], [36, 0]], [[32, 74], [36, 35]], [[32, 76], [36, 40]], [[32, 76], [36, 40]], [[32, 78], [36, 45]], [[32, 78], [36, 45]]]
xsdsdsds | [[[32, 32]], [[32, 34], [44, 0]], [[32, 76], [44, 35]], [[32, 78], [44, 40]], [[32, 78], [44, 40]], [[32, 80], [44, 45]], [[32, 80], [44, 45]]]
xsdsdsds | [[[32, 32]], [[32, 34], [28, 0]], [[32, 74], [28, 35]], [[32, 76], [28, 40]], [[32, 78], [28, 40]], [[32, 80], [28, 45]], [[32, 80], [28, 45]]]
